"sample","latitude","longitude","date","time","site","location","successful.count","fov.Limited","fov.Open","mean.relief","sd.relief","broad.Bryozoa","broad.Crinoids","broad.Hydrocoral","broad.Hydroids","broad.Octocoral/Black","broad.Sponges","broad.Unconsolidated"
"1.01",-22.84786205,113.5404917,12082019,09:23:00,1,"Ningaloo Marine Park","Yes",0,100,0.3,0.483045891539648,0,0,0,0,0,0,100
"1.02",-22.85016136,113.5252875,12082019,09:35:00,1,"Ningaloo Marine Park","Yes",0,100,0.933333333333333,0.258198889747161,0,0,0,0,0,0,100
"1.03",-22.84437,113.51304,12082019,09:43:00,1,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"1.04",-22.8402743,113.5183981,12082019,09:51:00,1,"Ningaloo Marine Park","Yes",0,100,0.0666666666666667,0.258198889747161,0,0,0,0,0,0,100
"1.05",-22.83417,113.51601,12082019,09:58:00,1,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"1.06",-22.83153691,113.523387,12082019,10:06:00,1,"Ningaloo Marine Park","Yes",0,100,0.75,0.452267016866645,0,0,0,0,0,0,100
"2.02",-22.83153691,113.5625852,12082019,11:47:00,2,"Ningaloo Marine Park","Yes",0,100,0.777777777777778,0.440958551844098,0,0,0,0,0,0,100
"2.03",-22.82900766,113.5659111,12082019,11:57:00,2,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"2.04",-22.82440903,113.5815904,12082019,12:05:00,2,"Ningaloo Marine Park","Yes",0,100,0.625,0.5,0,0,0,0,0,0,100
"2.05",-22.82256957,113.5770767,12082019,12:12:00,2,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"2.06",-22.82164985,113.5716127,12082019,12:18:00,2,"Ningaloo Marine Park","Yes",0,100,0.9375,0.25,0,0,0,0,0,0,100
"2.07",-22.8191206,113.5640106,12082019,12:24:00,2,"Ningaloo Marine Park","Yes",0,100,1.25,1,0,0,0,0,0,0,100
"3.01",-22.81314238,113.5207738,12082019,14:12:00,3,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"3.02",-22.81015327,113.5262378,12082019,14:07:00,3,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"3.03",-22.80693423,113.5338398,12082019,14:00:00,3,"Ningaloo Marine Park","Yes",0,100,0.8125,0.543905629069357,0,0,0,0,0,0,100
"3.04",-22.80608,113.51938,12082019,14:17:00,3,"Ningaloo Marine Park","Yes",0,100,0.9,0.737864787372622,0,0,0,0,0,0,100
"3.05",-22.80532471,113.51626,12082019,14:21:00,3,"Ningaloo Marine Park","Yes",0,100,1.83333333333333,0.577350269189626,0,0,0,8.33333333333333,0,16.6666666666667,75
"3.06",-22.80463491,113.5105585,12082019,14:25:00,3,"Ningaloo Marine Park","Yes",0,100,0.727272727272727,1.1037127426019,0,0,0,0,0,0,100
"4.01",-22.80504,113.49708,13082019,08:05:00,4,"Ningaloo Marine Park","Yes",0,100,NA,NA,0,0,0,0,20,20,60
"4.02",-22.79001,113.51077,13082019,08:15:00,4,"Ningaloo Marine Park","Yes",0,100,NA,NA,0,0,0,0,18.75,25,56.25
"4.03",-22.78991929,113.5005807,13082019,08:24:00,4,"Ningaloo Marine Park","Yes",0,100,NA,NA,0,0,0,0,0,63.6363636363636,36.3636363636364
"4.08",-22.78601045,113.4984427,13082019,08:29:00,4,"Ningaloo Marine Park","No - charlotte to decide",0,100,NA,NA,0,0,0,0,15.3846153846154,23.0769230769231,61.5384615384615
"4.11",-22.78371114,113.496067,13082019,08:33:00,4,"Ningaloo Marine Park","Yes",0,100,NA,NA,0,0,0,20,10,20,50
"4.12",-22.78578052,113.4877522,13082019,08:56:00,4,"Ningaloo Marine Park","Yes",0,100,1.375,1.25830573921179,0,0,0,31.25,0,0,68.75
"5.02",-22.78253,113.54762,13082019,15:37:00,5,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"5.03",-22.78303,113.56188,13082019,15:42:00,5,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"5.07",-22.7727833,113.57245,13082019,15:49:00,5,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"5.08",-22.76807579,113.5716127,13082019,15:53:00,5,"Ningaloo Marine Park","Yes",0,100,0.866666666666667,0.351865775274498,0,0,0,0,0,0,100
"5.11",-22.76278737,113.5723254,13082019,16:05:00,5,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"5.13",-22.76082,113.58319,13082019,16:11:00,5,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"6.01",-22.77091,113.53596,13082019,13:41:00,6,"Ningaloo Marine Park","Yes",0,100,0.3,0.483045891539648,0,0,0,0,0,0,100
"6.02",-22.75818,113.55367,13082019,13:31:00,6,"Ningaloo Marine Park","Yes",0,100,0.933333333333333,0.258198889747161,0,0,0,0,0,0,100
"6.03",-22.75754,113.54189,13082019,13:25:00,6,"Ningaloo Marine Park","Yes",15,85,NA,NA,0,0,0,0,27.7777777777778,27.7777777777778,44.4444444444444
"6.04",-22.75175065,113.5402541,13082019,13:21:00,6,"Ningaloo Marine Park","Yes",0,100,0.133333333333333,0.351865775274498,0,0,0,0,0,0,100
"6.05",-22.7411738,113.5412044,13082019,13:15:00,6,"Ningaloo Marine Park","Yes",0,100,0.6,0.50709255283711,0,0,0,0,0,0,100
"6.12",-22.73059695,113.541917,13082019,13:11:00,6,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"7.01",-22.73427585,113.5509445,14082019,08:24:00,7,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"7.02",-22.7317466,113.5533202,14082019,08:21:00,7,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"7.03",-22.72507859,113.5554582,14082019,08:16:00,7,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"7.04",-22.72760784,113.5630603,14082019,08:13:00,7,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,6.25,0,93.75
"7.05",-22.72875749,113.5732756,14082019,08:08:00,7,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"7.08",-22.73059695,113.5756513,14082019,08:03:00,7,"Ningaloo Marine Park","Yes",0,100,0.9,0.316227766016838,0,0,0,0,0,0,100
"8.01",-22.71266228,113.5497567,14082019,10:00:00,8,"Ningaloo Marine Park","Yes",0,100,0.866666666666667,0.351865775274498,0,0,0,0,0,0,100
"8.02",-22.70277523,113.5559334,14082019,10:06:00,8,"Ningaloo Marine Park","Yes",5,95,NA,NA,0,0,0,0,72.2222222222222,11.1111111111111,16.6666666666667
"8.05",-22.7017,113.57994,14082019,10:31:00,8,"Ningaloo Marine Park","Yes",5,95,0.9,0.316227766016838,0,0,0,0,0,0,100
"8.06",-22.69621,113.58157,14082019,10:27:00,8,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"8.07",-22.69542,113.57783,14082019,10:23:00,8,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"8.12",-22.69932625,113.547381,14082019,10:11:00,8,"Ningaloo Marine Park","Yes",0,100,NA,NA,0,0,0,0,26.6666666666667,20,53.3333333333333
"9.01",-22.70139564,113.5359779,13082019,11:16:00,9,"Ningaloo Marine Park","Yes",0,100,2.16666666666667,0.937436866561092,0,0,0,0,8.33333333333333,33.3333333333333,58.3333333333333
"9.02",-22.7025453,113.5214865,13082019,11:00:00,9,"Ningaloo Marine Park","Yes",0,100,1.33333333333333,0.887625364598595,0,0,0,41.6666666666667,16.6666666666667,0,41.6666666666667
"9.05",-22.69150858,113.5248124,13082019,11:05:00,9,"Ningaloo Marine Park","No",0,100,1.06666666666667,0.258198889747161,0,0,0,0,0,6.66666666666667,93.3333333333333
"9.06",-22.6931181,113.5319393,13082019,11:10:00,9,"Ningaloo Marine Park","Yes",0,100,NA,NA,0,0,0,0,7.69230769230769,46.1538461538462,46.1538461538462
"9.07",-22.71082283,113.5255251,13082019,10:52:00,9,"Ningaloo Marine Park","Yes",0,100,NA,NA,0,0,0,0,33.3333333333333,13.3333333333333,53.3333333333333
"9.08",-22.71220242,113.5136468,13082019,10:45:00,9,"Ningaloo Marine Park","Yes",0,100,0.428571428571429,0.513552591013095,0,0,0,0,28.5714285714286,0,71.4285714285714
"10.01",-22.67587323,113.5564085,14082019,12:13:00,10,"Ningaloo Marine Park","Yes",0,100,2.13333333333333,0.743223352957207,0,0,0,0,40,0,60
"10.02",-22.67334399,113.5564085,14082019,12:19:00,10,"Ningaloo Marine Park","Yes",0,100,NA,NA,0,0,5,0,35,5,55
"10.03",-22.66874535,113.5628228,14082019,12:24:00,10,"Ningaloo Marine Park","Yes",0,100,NA,NA,0,0,0,0,82.3529411764706,11.7647058823529,5.88235294117647
"10.04",-22.6669059,113.5518948,14082019,12:33:00,10,"Ningaloo Marine Park","No - charlotte to decide",0,100,NA,NA,0,0,0,0,14.2857142857143,57.1428571428571,28.5714285714286
"10.07",-22.67311405,113.5400165,14082019,12:40:00,10,"Ningaloo Marine Park","No",0,100,NA,NA,0,0,0,8.33333333333333,41.6666666666667,25,25
"10.08",-22.67035488,113.5383536,14082019,12:46:00,10,"Ningaloo Marine Park","No",0,100,1.27272727272727,0.467099366496914,0,0,0,9.09090909090909,18.1818181818182,0,72.7272727272727
"10.09",-22.62918,113.55942,14082019,14:34:00,10,"Ningaloo Marine Park","Yes",0,100,0.727272727272727,0.467099366496914,0,0,0,0,18.1818181818182,0,81.8181818181818
"10.11",-22.61773,113.5636,14082019,14:41:00,10,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"10.12",-22.59615,113.57775,14082019,15:20:00,10,"Ningaloo Marine Park","Yes",0,100,1.7,1.15950180872841,0,0,0,0,10,20,70
"10.13",-22.638,113.579,14082019,14:53:00,10,"Ningaloo Marine Park","Yes",0,100,NA,NA,0,0,0,0,36.8421052631579,10.5263157894737,52.6315789473684
"10.14",-22.624,113.5916667,14082019,15:02:00,10,"Ningaloo Marine Park","Yes",0,100,1.33333333333333,0.651338947278929,0,0,0,0,25,0,75
"10.15",-22.6058333,113.594,14082019,15:10:00,10,"Ningaloo Marine Park","Yes",0,100,NA,NA,0,0,0,0,28.5714285714286,50,21.4285714285714
"11.01",-22.54044354,113.6215013,15082019,08:06:00,11,"Ningaloo Marine Park","Yes",0,100,0.933333333333333,0.258198889747161,0,0,0,0,0,0,100
"11.02",-22.5365347,113.6248272,15082019,08:11:00,11,"Ningaloo Marine Park","Yes",0,100,1.53846153846154,0.660225291773525,0,0,0,0,23.0769230769231,0,76.9230769230769
"11.03",-22.53377552,113.6274404,15082019,08:15:00,11,"Ningaloo Marine Park","No",0,100,0.8,0.421637021355784,0,0,0,0,0,0,100
"11.04",-22.52871703,113.6243521,15082019,08:19:00,11,"Ningaloo Marine Park","Yes",0,100,0.933333333333333,0.258198889747161,0,0,0,0,0,0,100
"11.05",-22.52618778,113.6255399,15082019,08:25:00,11,"Ningaloo Marine Park","No",0,100,0.1,0.316227766016838,0,0,0,0,0,0,100
"11.06",-22.52388847,113.6345674,15082019,08:31:00,11,"Ningaloo Marine Park","Yes",0,100,0.916666666666667,0.90033663737852,0,0,0,0,8.33333333333333,8.33333333333333,83.3333333333333
"12.02",-22.46724,113.67504,15082019,10:37:00,12,"Ningaloo Marine Park","Yes",0,100,NA,NA,0,0,0,0,6.66666666666667,20,73.3333333333333
"12.03",-22.46824503,113.6678265,15082019,10:44:00,12,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"12.04",-22.46433619,113.6687767,15082019,10:48:00,12,"Ningaloo Marine Park","Yes",0,100,0.333333333333333,0.487950036474267,0,0,0,0,0,0,100
"12.05",-22.4673253,113.6599868,15082019,10:29:00,12,"Ningaloo Marine Park","Yes",0,100,0.6,0.632455532033676,0,0,0,0,0,0,100
"12.06",-22.46548585,113.6573736,15082019,10:25:00,12,"Ningaloo Marine Park","No",0,100,1,0,0,0,0,0,0,0,100
"12.11",-22.48475,113.64333,15082019,10:14:00,12,"Ningaloo Marine Park","Yes",0,100,NA,NA,0,0,0,0,0,27.2727272727273,72.7272727272727
"13.02",-22.40386419,113.7058369,15082019,12:32:00,13,"Ningaloo Marine Park","Yes",0,100,0,0,0,0,0,0,0,0,100
"13.03",-22.39903562,113.7013231,15082019,12:52:00,13,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"13.04",-22.39765604,113.6972845,15082019,12:48:00,13,"Ningaloo Marine Park","Yes",0,100,1.13333333333333,0.351865775274498,0,0,0,0,0,0,100
"13.05",-22.40087508,113.6932459,15082019,12:43:00,13,"Ningaloo Marine Park","Yes",0,100,0.636363636363636,0.504524979109513,0,0,0,0,0,0,100
"13.06",-22.40478391,113.6922957,15082019,12:39:00,13,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"13.08",-22.39328734,113.7039364,15082019,12:56:00,13,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"14.01",-22.32524,113.72408,15082019,14:46:00,14,"Ningaloo Marine Park","Yes",0,100,0.733333333333333,0.961150104723255,0,0,0,0,0,33.3333333333333,66.6666666666667
"14.02",-22.30284,113.73251,15082019,15:12:00,14,"Ningaloo Marine Park","Yes",0,100,0.5,0.707106781186548,0,0,0,0,0,0,100
"14.03",-22.27651,113.74266,15082019,15:25:00,14,"Ningaloo Marine Park","No",0,100,1,0.426401432711221,0,0,0,0,0,16.6666666666667,83.3333333333333
"14.06",-22.17832,113.79046,16082019,08:12:00,14,"Ningaloo Marine Park","Yes",0,100,0.538461538461538,0.518874521662771,0,0,0,0,0,0,100
"14.11",-22.3266667,113.7371667,15082019,14:53:00,14,"Ningaloo Marine Park","Yes",0,100,0.666666666666667,0.723746864455746,0,0,0,0,0,0,100
"14.12",-22.3071667,113.746,15082019,15:05:00,14,"Ningaloo Marine Park","Yes",0,100,0.333333333333333,0.487950036474267,0,0,0,0,0,0,100
"14.13",-22.2866667,113.7416667,15082019,15:20:00,14,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"15.01",-22.17344,113.7915,16082019,08:16:00,15,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"15.02",-22.16882,113.7941,16082019,08:20:00,15,"Ningaloo Marine Park","Yes",0,100,0.833333333333333,0.389249472080761,0,0,0,0,0,8.33333333333333,91.6666666666667
"15.05",-22.16173,113.78335,16082019,08:27:00,15,"Ningaloo Marine Park","No",0,100,1.06666666666667,0.258198889747161,0,0,0,0,6.66666666666667,0,93.3333333333333
"15.07",-22.13639,113.79163,16082019,08:43:00,15,"Ningaloo Marine Park","Yes",0,100,1.3,0.483045891539648,0,0,0,0,0,0,100
"15.12",-22.14381158,113.7899349,16082019,08:39:00,15,"Ningaloo Marine Park","Yes",0,100,1.86666666666667,0.351865775274498,0,0,0,0,20,6.66666666666667,73.3333333333333
"16.01",-22.12155,113.80074,16082019,10:22:00,18,"Ningaloo Marine Park","Yes",0,100,0.4,0.516397779494322,0,0,0,0,0,0,100
"16.02",-22.11624,113.79192,16082019,10:28:00,16,"Ningaloo Marine Park","Yes",0,100,NA,NA,10,0,0,30,0,60,0
"16.03",-22.10669,113.7967,16082019,10:39:00,16,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"16.04",-22.09742,113.8081,16082019,10:48:00,16,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"16.05",-22.0856,113.82563,16082019,11:00:00,16,"Ningaloo Marine Park","Yes",0,100,2.2,0.414039335605413,0,0,0,0,0,13.3333333333333,86.6666666666667
"17.08",-22.0943763,113.8193929,16082019,10:53:00,17,"Ningaloo Marine Park","Yes",0,100,0,0,0,0,0,0,0,0,100
"18.01",-22.06954369,113.812266,16082019,12:33:00,18,"Ningaloo Marine Park","Yes",0,100,0.230769230769231,0.438529009653515,0,0,0,0,0,0,100
"18.02",-22.06517499,113.8120284,16082019,12:38:00,18,"Ningaloo Marine Park","Yes",0,100,0.2,0.414039335605413,0,0,0,0,0,0,100
"18.03",-22.06563485,113.8082274,16082019,12:46:00,18,"Ningaloo Marine Park","Yes",0,100,1.54545454545455,0.522232967867094,0,0,0,0,18.1818181818182,0,81.8181818181818
"18.04",-22.06172601,113.810603,16082019,12:50:00,18,"Ningaloo Marine Park","Yes",0,100,2.06666666666667,0.258198889747161,0,0,0,46.6666666666667,0,26.6666666666667,26.6666666666667
"18.07",-22.06264574,113.8281828,16082019,12:54:00,18,"Ningaloo Marine Park","Yes",0,100,0.7,0.823272602348565,0,0,0,0,0,0,100
"18.08",-22.0725328,113.823194,16082019,12:58:00,18,"Ningaloo Marine Park","Yes",0,100,0.2,0.421637021355784,0,0,0,0,0,0,100
"19.01",-22.01347,113.82289,16082019,14:42:00,19,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"19.02",-22.00792203,113.821531,16082019,14:44:00,19,"Ningaloo Marine Park","Yes",0,100,1.3,0.483045891539648,0,0,0,0,0,0,100
"19.03",-22.00286353,113.8305585,16082019,14:55:00,19,"Ningaloo Marine Park","Yes",0,100,0.8,0.421637021355784,0,0,0,0,0,0,100
"19.04",-22.00056422,113.8255696,16082019,14:49:00,19,"Ningaloo Marine Park","Yes",0,100,0.846153846153846,0.375533808099405,0,0,0,0,0,0,100
"19.05",-21.99757511,113.8291331,16082019,14:59:00,19,"Ningaloo Marine Park","Yes",0,100,0,0,0,0,0,0,0,0,100
"19.08",-21.99412613,113.8234315,16082019,15:03:00,19,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"23.01",-21.68647769,114.0835652,17082019,13:22:00,23,"Ningaloo Marine Park","Yes",0,100,1.8,0.447213595499958,0,0,0,0,0,0,100
"23.02",-21.68555797,114.0785763,17082019,13:28:00,23,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"23.03",-21.68233893,114.0811896,17082019,13:31:00,23,"Ningaloo Marine Park","Yes",0,100,0,0,0,0,0,0,0,0,100
"23.04",-21.67980968,114.0845155,17082019,13:35:00,23,"Ningaloo Marine Park","Yes",0,100,1,0,0,0,0,0,0,0,100
"23.06",-21.67475118,114.0944932,17082019,13:46:00,23,"Ningaloo Marine Park","Yes",0,100,0,0,0,0,0,0,0,0,100
"23.09",-21.706867,114.0747,17082019,13:13:00,23,"Ningaloo Marine Park","Yes",0,100,0.461538461538462,0.518874521662771,0,7.69230769230769,0,0,15.3846153846154,0,76.9230769230769
"30.01",-21.91122,113.90413,17082019,10:04:00,30,"Ningaloo Marine Park","No",0,100,0.636363636363636,0.809039834955891,0,0,0,0,0,18.1818181818182,81.8181818181818
"30.02",-21.90687,113.90722,17082019,10:08:00,30,"Ningaloo Marine Park","Yes",0,100,0,0,0,0,0,0,0,0,100
"30.03",-21.89999,113.91082,17082019,10:13:00,30,"Ningaloo Marine Park","Yes",0,100,0,0,0,0,0,0,0,0,100
"30.04",-21.89513,113.91423,17082019,10:16:00,30,"Ningaloo Marine Park","Yes",0,100,0.454545454545455,0.687551650952329,0,0,0,0,18.1818181818182,0,81.8181818181818
"30.05",-21.88983,113.91801,17082019,10:20:00,30,"Ningaloo Marine Park","Yes",0,100,1.30769230769231,0.947330933431342,0,0,0,0,0,23.0769230769231,76.9230769230769
"30.06",-21.8876,113.9202,17082019,10:23:00,30,"Ningaloo Marine Park","Yes",0,100,NA,NA,0,0,0,0,8.33333333333333,58.3333333333333,33.3333333333333
"31.01",-21.6873167,114.08985,17082019,15:25:00,31,"Ningaloo Marine Park","Yes",0,100,1.64285714285714,1.15072838853303,0,0,0,0,0,28.5714285714286,71.4285714285714
"31.02",-21.6919667,114.09,17082019,15:29:00,31,"Ningaloo Marine Park","Yes",0,100,0.181818181818182,0.404519917477945,0,0,0,0,0,9.09090909090909,90.9090909090909
"31.03",-21.69445,114.0887667,17082019,15:31:00,31,"Ningaloo Marine Park","Yes",15,85,1.36363636363636,0.504524979109513,0,0,9.09090909090909,0,18.1818181818182,18.1818181818182,54.5454545454545
"31.04",-21.69635,114.0877667,17082019,15:34:00,31,"Ningaloo Marine Park","Yes",0,100,0.714285714285714,0.611249845502127,0,0,0,0,33.3333333333333,0,66.6666666666667
"31.05",-21.70045,114.0814333,17082019,15:39:00,31,"Ningaloo Marine Park","Yes",0,100,0,0,0,0,0,0,0,0,100
"31.06",-21.7025167,114.0774833,17082019,15:45:00,31,"Ningaloo Marine Park","Yes",0,100,0.5,0.650443635587991,0,0,0,0,0,7.14285714285714,92.8571428571429
